"Time","інвестиції"
"2021-02-01",63
"2021-03-01",64
"2021-04-01",66
"2021-05-01",58
"2021-06-01",47
"2021-07-01",35
"2021-08-01",27
"2021-09-01",42
"2021-10-01",54
"2021-11-01",61
"2021-12-01",54
"2022-01-01",53
"2022-02-01",53
"2022-03-01",32
"2022-04-01",71
"2022-05-01",71
"2022-06-01",50
"2022-07-01",27
"2022-08-01",29
"2022-09-01",49
"2022-10-01",59
"2022-11-01",74
"2022-12-01",62
"2023-01-01",58
"2023-02-01",67
"2023-03-01",70
"2023-04-01",84
"2023-05-01",89
"2023-06-01",56
"2023-07-01",43
"2023-08-01",42
"2023-09-01",64
"2023-10-01",69
"2023-11-01",79
"2023-12-01",66
"2024-01-01",72
"2024-02-01",69
"2024-03-01",71
"2024-04-01",94
"2024-05-01",72
"2024-06-01",54
"2024-07-01",48
"2024-08-01",56
"2024-09-01",95
"2024-10-01",95
"2024-11-01",83
"2024-12-01",70
"2025-01-01",71
"2025-02-01",84
"2025-03-01",78
"2025-04-01",85
"2025-05-01",72
"2025-06-01",63
"2025-07-01",66
"2025-08-01",90
"2025-09-01",98
"2025-10-01",100
"2025-11-01",82
"2025-12-01",73
"2026-01-01",74
"2026-02-01",73